author,email,arxiv_id,published,title
Richard Sutcliffe,,2401.00609v1,2023-12-31T23:41:41Z,"A Survey of Personality, Persona, and Profile in Conversational Agents and Chatbots"
Pavel Chebotarev,,2401.00592v5,2023-12-31T21:59:40Z,"Majority voting is not good for heaven or hell, with mirrored performance"
Vadim Afonkin,,2401.00592v5,2023-12-31T21:59:40Z,"Majority voting is not good for heaven or hell, with mirrored performance"
Joseph Y. Halpern,,2402.09413v1,2023-12-31T17:07:28Z,Mathematical Explanations
Giulia Bertaglia,,2401.00480v3,2023-12-31T12:46:08Z,Modelling contagious viral dynamics: a kinetic approach based on mutual utility
Lorenzo Pareschi,,2401.00480v3,2023-12-31T12:46:08Z,Modelling contagious viral dynamics: a kinetic approach based on mutual utility
Giuseppe Toscani,,2401.00480v3,2023-12-31T12:46:08Z,Modelling contagious viral dynamics: a kinetic approach based on mutual utility
Mikołaj Krakowski,,2401.00467v1,2023-12-31T11:45:14Z,Amplification of femtosecond pulses with AI-assisted spectral phase modulation
Alicja Kwaśny,,2401.00467v1,2023-12-31T11:45:14Z,Amplification of femtosecond pulses with AI-assisted spectral phase modulation
Grzegorz Soboń,,2401.00467v1,2023-12-31T11:45:14Z,Amplification of femtosecond pulses with AI-assisted spectral phase modulation
Silvan David Peter,,2401.00466v1,2023-12-31T11:42:42Z,Online Symbolic Music Alignment with Offline Reinforcement Learning
Wei-Jer Chang,,2401.00391v3,2023-12-31T04:14:43Z,SAFE-SIM: Safety-Critical Closed-Loop Traffic Simulation with Diffusion-Controllable Adversaries
Francesco Pittaluga,,2401.00391v3,2023-12-31T04:14:43Z,SAFE-SIM: Safety-Critical Closed-Loop Traffic Simulation with Diffusion-Controllable Adversaries
Masayoshi Tomizuka,,2401.00391v3,2023-12-31T04:14:43Z,SAFE-SIM: Safety-Critical Closed-Loop Traffic Simulation with Diffusion-Controllable Adversaries
Wei Zhan,,2401.00391v3,2023-12-31T04:14:43Z,SAFE-SIM: Safety-Critical Closed-Loop Traffic Simulation with Diffusion-Controllable Adversaries
Manmohan Chandraker,,2401.00391v3,2023-12-31T04:14:43Z,SAFE-SIM: Safety-Critical Closed-Loop Traffic Simulation with Diffusion-Controllable Adversaries
Donald Brinkman,,2401.02978v1,2023-12-31T03:29:16Z,Learning from a Generative AI Predecessor -- The Many Motivations for Interacting with Conversational Agents
Jonathan Grudin,,2401.02978v1,2023-12-31T03:29:16Z,Learning from a Generative AI Predecessor -- The Many Motivations for Interacting with Conversational Agents
Yinglun Xu,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Tarun Suresh,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Rohan Gumaste,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
David Zhu,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Ruirui Li,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Zhengyang Wang,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Haoming Jiang,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Xianfeng Tang,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Qingyu Yin,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Monica Xiao Cheng,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Qi Zeng,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Chao Zhang,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Gagandeep Singh,,2401.00330v3,2023-12-30T21:37:18Z,Two-Step Offline Preference-Based Reinforcement Learning with Constrained Actions
Yifan Su,,2401.00315v2,2023-12-30T20:23:27Z,Bidirectional Temporal Plan Graph: Enabling Switchable Passing Orders for More Efficient Multi-Agent Path Finding Plan Execution
Rishi Veerapaneni,,2401.00315v2,2023-12-30T20:23:27Z,Bidirectional Temporal Plan Graph: Enabling Switchable Passing Orders for More Efficient Multi-Agent Path Finding Plan Execution
Jiaoyang Li,,2401.00315v2,2023-12-30T20:23:27Z,Bidirectional Temporal Plan Graph: Enabling Switchable Passing Orders for More Efficient Multi-Agent Path Finding Plan Execution
Samantha Linn,,2401.00306v2,2023-12-30T19:36:35Z,"Fast decisions reflect biases, slow decisions do not"
Sean D. Lawley,,2401.00306v2,2023-12-30T19:36:35Z,"Fast decisions reflect biases, slow decisions do not"
Bhargav R. Karamched,,2401.00306v2,2023-12-30T19:36:35Z,"Fast decisions reflect biases, slow decisions do not"
Zachary P. Kilpatrick,,2401.00306v2,2023-12-30T19:36:35Z,"Fast decisions reflect biases, slow decisions do not"
Krešimir Josić,,2401.00306v2,2023-12-30T19:36:35Z,"Fast decisions reflect biases, slow decisions do not"
Omer Ben-Porat,,2401.00298v1,2023-12-30T18:30:44Z,Principal-Agent Reward Shaping in MDPs
